ID,orderNumber,date,time,status,totalPrice,customer_ID

O001,ORD1001,2026-05-01,10:30:00,Delivered,75000,C001
O002,ORD1002,2026-05-01,11:00:00,Shipped,30000,C002
O003,ORD1003,2026-05-01,12:00:00,Processing,15000,C003
O004,ORD1004,2026-05-01,13:00:00,Cancelled,5000,C004
O005,ORD1005,2026-05-01,14:00:00,Delivered,20000,C005
O006,ORD1006,2026-05-01,15:00:00,Shipped,18000,C006
O007,ORD1007,2026-05-01,16:00:00,Processing,22000,C007
O008,ORD1008,2026-05-01,17:00:00,Delivered,27000,C008
O009,ORD1009,2026-05-01,18:00:00,Shipped,35000,C009
O010,ORD1010,2026-05-02,09:00:00,Delivered,40000,C010
O011,ORD1011,2026-05-02,10:00:00,Processing,12000,C011
O012,ORD1012,2026-05-02,11:00:00,Cancelled,8000,C012
O013,ORD1013,2026-05-02,12:00:00,Delivered,60000,C013
O014,ORD1014,2026-05-02,13:00:00,Shipped,45000,C014
O015,ORD1015,2026-05-02,14:00:00,Processing,32000,C015
O016,ORD1016,2026-05-02,15:00:00,Delivered,28000,C016
O017,ORD1017,2026-05-02,16:00:00,Shipped,15000,C017
O018,ORD1018,2026-05-02,17:00:00,Processing,22000,C018
O019,ORD1019,2026-05-02,18:00:00,Delivered,31000,C019
O020,ORD1020,2026-05-02,19:00:00,Shipped,26000,C020
