ID,quantity,unitPrice,totalPrice,order_ID,product_ID

OI001,1,75000,75000,O001,P001
OI002,2,15000,30000,O002,P002
OI003,1,15000,15000,O003,P002
OI004,1,5000,5000,O004,P003
OI005,2,10000,20000,O005,P007
OI006,3,6000,18000,O006,P010
OI007,2,11000,22000,O007,P006
OI008,3,9000,27000,O008,P005
OI009,1,35000,35000,O009,P009
OI010,2,20000,40000,O010,P008
OI011,2,6000,12000,O011,P004
OI012,1,8000,8000,O012,P014
OI013,1,60000,60000,O013,P001
OI014,1,45000,45000,O014,P016
OI015,2,16000,32000,O015,P015
OI016,2,14000,28000,O016,P017
OI017,1,15000,15000,O017,P007
OI018,2,11000,22000,O018,P006
OI019,1,31000,31000,O019,P018
OI020,2,13000,26000,O020,P019
OI023,2,5000,10000,O014,P012
OI024,5,5000,25000,O014,P013
